,original,paraphrase,our_paraphrase
5193,"Deček je z divjim gibom segel v odprt zavoj, poln popra vrste »zmajeva kri«, zgrabil prgišče in ga zalučal Marcu v obraz.","Fant je z divjo potezo segel v odprti ovinek, poln popra ""zmajeve krvi "", zgrabil pest in jo vrgel Marku v obraz.","Deček je z divjim gibom segel v odprt zavoj, poln popra vrste """
5194,Benečan je zavpil od bolečine v zaslepljenih očeh.,Benečan je vpil od bolečin v slepih očeh.,Benečan je zavpil od bolečine v zaslepljenih očeh.
5195,"Xiu Lan je planila k njemu in ga odpeljala do vedra z vodo, v katerem je neki glumač razkazoval dresirane ribe.","Xiu Lan je planil k njemu in ga odpeljal do vedra vode, v katerem je neki igralec razkazoval dresirane ribe.","Xiu Lan je planil k njemu in ga odpeljal do vedra z vodo, v"
5196,"Za njegovo vpitje, češ naj mu plačata za ribe, se nista zmenila.","Niso se zmenili za njegovo vpitje, češ da bi mu morali plačati za ribe.","Za njegovo vpitje, češ naj mu plačata ribe, se nista zmenila."
5197,»Zakaj je zbežal?«,"""Zakaj pa je zbežal?""","""Zakaj je pobegnil?"""
5198,"»Marco Polo, nad menoj nimate nikakršnih pravic.","""Marco Polo, nimaš nobene pravice do mene.","""Marco Polo, nimate nobenih pravic nad mano."
5199,Odidite!«,"Samo pojdi stran! ""","Odidite! """
5200,"General je počakal, da so sužnji postregli čaj; potem je razvil mongolski zemljevid.","General je čakal, da sužnji postrežejo čaj, nato pa je izdelal mongolski zemljevid.","General je počakal, da so sužnji postregli čaj; nato je razvil mongolski"
5201,"»Res je iz republike, imenovane Benetke,« ga je ponosno dopolnil Marco, čeprav to ime ni generalu nič pomenilo.","""Je iz republike, imenovane Benetke "", je ponosno dodal Marco, čeprav to ime generalu ni pomenilo nič.","""Res je iz republike, imenovane Benetke,"" ga je ponosno dopolnil Marco, čeprav to ime"
5202,"»V skladu z vašo nalogo vam torej zapovedujem, da nemudoma odpotujete.","""v skladu z vašo nalogo vam ukazujem, da takoj odidete.","""V skladu z vašo nalogo vam torej ukažem, da nemudoma odpotujete."
5203,Hong Tagujeva vojska je odšla iz Kanbaliq ob začetku druge letošnje lunine mene; v Korjo bi morala priti okoli tretje.,Hong Tagujeva vojska je zapustila Kanbaliq na začetku druge lunine faze letos; morali bi doseči Korjo okoli tretje.,Hong Tagujeva vojska je odšla iz Kanbaliq ob začetku druge letošnje lunine mene;
5204,"Le glejte, da vas ne bodo čakali, kot sem vas moral čakati jaz,« je pikro pribil Fan Wenhu.","Samo poskrbite, da ne bodo čakali na vas, kot sem moral čakati na vas, ""Fan Wenhu.","Le glejte, da vas ne bodo čakali, kot sem moral čakati jaz,"" je pikro"
5205,"»Ali obstaja kaka možnost za izkrcanje kje drugje, ne pa ravno pred obrambnim obzidjem na otoku Dazaifu, o katerem ste nam pravili?«","""Ali je kakšna možnost, da bi se izkrcali kje drugje, vendar ne pred obrambnimi zidovi na otoku Dazaif, o katerem ste nam govorili?""","""Ali obstaja kakšna možnost za izkrcanje drugje, ne pa ravno pred obrambnim obzidjem"
5206,Marco se je rahlo nasmehnil.,Marco se je malo nasmehnil.,Marco se je rahlo nasmehnil.
5207,»Res ne; pač pa se spoznam na Japonsko.«,"""Niti ne, vem pa za Japonsko.""","""Res ne; ampak se spoznam na Japonsko."""
5208,Marco se je ozrl po nebu.,Marco je pogledal v nebo.,Marco se je ozrl po nebu.
5209,Po njem so se podili raztrgani črni oblaki.,Za njim so se razbesneli črni oblaki.,Po njem so se raztrgali črni oblaki.
5210,"Še pred poldnevom jih je veter, ki je bil kljub pomladi, s katero so se kitila razcvetela drevesa, ledeno mrzel, vse razpihal in pokazalo se je popolnoma jasno nebo.","Še pred poldnevom jih je veter, ki je bil ledeno mrzel kljub pomladi, s katero so cvetela drevesa, vse razpihal in pokazal popolnoma jasno nebo.","Še pred poldnevom je veter, kljub pomladi, s katero so se razcvetela drevesa,"
5211,Xindu je vidno negodoval.,bil je vidno nezadovoljen.,Xindu je vidno grozil.
5212,"Kazalo je, da bo avgust tistega leta 1281 še posebno vroč.",avgust 1281 je bil tistega leta še posebej vroč.,"Kazalo je, da bo avgust tistega leta 1281 še posebej vroč."
5213,Hong Tagu je sklical posvet.,Hong Tagu je sklical sestanek.,Hong Tagu je sklical posvet.
5214,"»Pravi skovik ste, blagorodni gospod Polo.","""vi ste pravi podlež, gospod Polo.","""Pravi skovik ste, blagorodni gospod Polo."
5215,Mogoče pa vas ne bi bili smeli vzeti s seboj ...«,"Mogoče te ne bi smela vzeti s sabo... ""","Mogoče vas ne bi smeli vzeti s seboj. """
5216,"Hong Tagu je kar odrevenel, nato pa se je opazno odmaknil od njega.","Hong Tagu je preprosto otrpel, nato pa se je opazno odmaknil od njega.","Hong Tagu je kar odrevenel, nato pa se je vidno odmaknil od njega."
5217,Marcov spremljevalec je stegnil roko proti peščini.,Marcov spremljevalec je segel do peska.,Marcov spremljevalec je stegnil roko proti peščini.
5218,»Poglejte!«,"""Poglej si to!","""Poglejte!"""
5219,Končno so zagledali pred seboj cesarsko prestolnico.,Nazadnje so si ogledali cesarsko prestolnico.,Končno so videli cesarsko prestolnico.
5220,"Ko so vkorakali skozi mestna vrata, so naleteli na vsesplošno ravnodušnost.","Ko so šli skozi mestna vrata, so naleteli na splošno brezbrižnost.","Ko so vstopili skozi mestna vrata, so naleteli na vsesplošno ravnodušnost."
5221,"Ljudje so se umikali s poti, da bi vojaki mogli mimo.","Ljudje so se umikali s poti, da so vojaki lahko šli mimo.","Ljudje so se umikali s poti, da bi vojaki prišli mimo."
5222,"Generali so odšli na poveljstvo, Marco pa v veleposlaniško četrt.","generali so šli v štab, Marco pa v ambasado.","Generali so odšli na poveljstvo, Marco pa v veleposlaniško četrt."
5223,"Doma ga je čakalo pismo od očeta, v katerem mu je ta opisoval, kako se mora prilizovati novemu guvernerju Yangzhoua.","Doma ga je čakalo pismo njegovega očeta, v katerem mu je pisalo, kako ugoditi novemu guvernerju Yangzhouja.","Doma ga je čakalo pismo od očeta, v katerem mu je oče opisal, kako se mor"
5224,"Niccolo je menil, da z njim dobro ravnajo zaradi koristi od trgovine s soljo, ki jo ima cesarstvo po njegovi zaslugi.","Niccolo je menil, da z njim dobro ravnajo v korist trgovine s soljo, ki jo je prinesel imperiju.","Niccolo je menil, da je dobro ravnal z njim zaradi koristi od trgovine s soljo"
5225,"Ta je, ves zadihan, s širokim nasmehom zajel sapo.",S širokim nasmehom je globoko zajel sapo.,"Ta je, ves zadihan, s širokim nasmehom zajel sapo."
5226,"»Moj gospod, dovolite vendar sinovom svojih vojakov, da odrastejo v može!«","""moj gospod, naj sinovi tvojih vojakov odrastejo v može.""","""Moj gospod, dovolite svojim možem, da odrastejo v može!"""
5227,Benečan je novico sprejel z olajšanjem.,Benečan je novico sprejel z olajšanjem.,Benečan je novico sprejel z olajšanjem.
5228,»Ne govorim kitajsko.«,"""jaz ne govorim kitajsko.""","""ne govorim kitajsko."""
5229,Marco je obžalujoče odkimal.,Marco je z obžalovanjem prikimal.,"Marco je obžaloval, da je odkimal."
5230,Izbrana priležnica je pokleknila in se s ponižnim nasmehom prizadevno lotila opravila.,Izbrana priležnica je pokleknila in trdo delala s ponižnim nasmehom.,Izbrana priležnica je pokleknila in se s ponižnim nasmehom lotila dela.
5231,"»Kvečjemu prebirki,« ga je popravil Veliki kan.","""V najboljšem primeru,"" je popravil Veliki kan.","""Kvečjemu prebirki,"" ga je popravil Veliki kan."
5232,"»Od ženskah se lahko marsičesa naučiš, Marco Polo.«","""Marco Polo, ženske te lahko veliko naučijo.""","""Od žensk se lahko veliko naučiš, Marco Polo."""
5233,"Že tri leta, odkar je prišel v Kanbaliq, se vrti okrog cesarja ...«","Že tri leta, od njegovega prihoda v Kanbaliq, je bil okoli cesarja... ""","Že tri leta, odkar je prišel v Kanbaliq, se vrti okrog cesarja... """
5234,"V Marca se je nenadoma zaletel konjenik, ki je pridirjal v galopu.",Nenadoma se je v Marka zaletel konjeniški konjenik.,"V Marca se je nenadoma zaletel konj, ki je pridirjal v galopu."
5235,"Ob sunku ga je zaneslo, medtem ko je lovil ravnotežje, pa je opazil, da mu je jezdec iztrgal sabljo.","V eksploziji so ga odnesli, toda medtem ko je lovil ravnotežje, je opazil, da mu je jezdec iztrgal meč.","Ob sunku ga je zaneslo, medtem ko je lovil ravnotežje, je opazil,"
5236,Brez omahovanja se je pognal za njim.,Brez oklevanja ga je preganjal.,Brez omahovanja se je odpravil za njim.
5237,"Vendar je bil napadalec prekaljen mongolski razbojnik, ki je znal s sunkovitimi zasuki v levo in desno izčrpati žrtev.","Vendar pa je bil napadalec utrjen mongolski razbojnik, ki je žrtev izčrpal z ostrimi levimi in desnimi zavoji.","Vendar je bil napadalec prekaljen mongolski razbojnik, ki je znal s sunkovi"
5238,"Marco se je, ves upehan in besen, zavedel svoje nemoči.","Marco, otopel in besen, je poznal njegovo nemoč.","Marco se je, ves upehan in besen, zavedel svoje nemoči."
5239,Upočasnil je korak in obrnil konja nazaj.,Upočasnil je in obrnil konja nazaj.,Upočasnil je korak in obrnil konja nazaj.
5240,Nenadoma je opazil kakih sto korakov pred seboj prapor varuha najdenih predmetov.,"Nenadoma je opazil, da je približno sto korakov pred njim stal prapor, ki ga je našel varuh.",Nenadoma je opazil nekaj sto korakov pred seboj prapor varuha najdenih predmetov.
5241,S stegni je pognal konja.,S stegni je vlekel konja.,S stegni je pognal konja.
5242,"Žival se je v nekaj skokih znašla ob zastavici, ki je plapolala v vse smeri.","V nekaj skokih se je žival znašla pred zastavo, ki je plapolala v vse smeri.","Žival se je v nekaj skokih znašla ob zastavi, ki je plapolala v vse smeri"
5243,Tedaj je Marco zagledal v tla zapičeno sulico.,"Nato je Marco videl, da je kopje obtičalo v zemlji.",Tedaj je Marco zagledal v tla zapičeno sulico.
5244,Zvoki lova za njegovim hrbtom so potihnili.,Lov za njegovim hrbtom se je polegel.,Zvoki lova za njegovim hrbtom so se zgodili.
5245,"Začutil je jedek vonj, ob katerem se je počutil še bolj nelagodno.","Čutil je oster vonj, zaradi katerega se je počutil še bolj nelagodno.","Čutil je jedek vonj, ob katerem se je počutil še bolj nelagodno."
5246,Oprezno je razjahal.,Skrbno ga je odstranil.,Oprezno je razjahal.
5247,"Zagledal je sledove hitečih stopinj, ki so vodili proti sulici.","Videl je hiteče stopinje, ki so vodile do kopja.","Zagledal je sledove hitečih stopinj, ki so vodile proti sulici."
5248,So bile človeške ali živalske?,So bili ljudje ali živali?,Ali so bile človeške ali živalske?
5249,Konj je nemirno zahrzal.,Konj je bil nemiren.,Konj je nemirno zahrzal.
5250,Prapor nad njegovo glavo je švrkal v vetru kot bič.,prapor nad njegovo glavo je prasketal v vetru kot bič.,Prapor nad njegovo glavo je švrkal v vetru kot bič.
5251,"V daljavi so krožili po nebu lovski orli, iskaje plen.",V daljavi so se po nebu sprehajali lovski orli in iskali plen.,"V daljavi so lovski orli, iskani plen, iskali plen."
5252,Konj je zarital.,konj je skočil noter.,Konj je zaril.
5253,"Marco, ki je pozabil, da je neoborožen, je samodejno segel po svoji sablji.","Marco, ki je pozabil, da ni oborožen, je avtomatično posegel po njegovem meču.","Marco, ki je pozabil, da je neoborožen, je samodejno segel po svoji"
5254,"Bližal se mu je topot kopit v galopu; v tišini, ki ga je obkrožala, je bil slišati še glasnejši.","Kopito galop je prišel k njemu; v tišini, ki ga obdaja, je zvenel še glasneje.","Bližal se mu je topot kopit v galopu; v tišini, ki"
5255,Marco je brez odlašanja pograbil v tla zapičeno sulico in jo s hrbtom obrnjen proti konju dvignil predse.,"Marco je brez odlašanja zgrabil sulico, zataknjeno v tleh, in jo s hrbtom proti konju dvignil.",Marco je brez odlašanja zgrabil v tla zapičeno sulico in jo s hrbtom obrnjen
5256,Prikazal se je konjenik z živobarvnim mongolskim klobukom.,Pojavil se je jezdec s svetlo obarvanim mongolskim klobukom.,Prikazal se je konjenik z živobarvnim mongolskim klobukom.
5257,»Ste vi izgubili sabljo?«,"""Ali si izgubil svoj meč?""","""Ali ste izgubili sabljo?"""
5258,"»Moj gospod, mi mar kažete ta zemljevid samo zato, da me seznanite z dosežki vaših kartografov ...?«","""Gospod, ali mi kažete ta zemljevid samo zato, da bi se zavedala dosežkov vaših kartografov?""","""Moj gospod, mi kažete ta zemljevid samo zato, da me seznanite z dosežki"
5259,Kublaj je počasi dvignil svoje težke veke in uprl pogled v predrzneža.,Kublaj je počasi dvignil težke veke in usmeril pogled na lice.,Kublaj je počasi dvignil svoje težke veke in uprl pogled v predrznež
5260,"Marco se je zaradi cesarjevega poziva čutil tako ponižanega, da si svoje predrznosti niti ni očital.","Marco se je počutil tako ponižanega zaradi cesarjevega poziva, da se ni niti grajal.","Marco se je zaradi cesarjevega poziva počutil tako ponižanega, da si ni očital"
5261,"»Zahvali se Nebu in Zemlji, da imaš dobro karmo, Marco Polo.","""Hvala nebesom in zemlji, da imate dobro karmo, Marco Polo.","""Zahvalite Nebu in Zemlji, da imaš dobro karmo, Marco Polo."
5262,"Če ne, bi se na novo rodil kot pes.«","Če ne, bi se ponovno rodil kot pes. ""","Če ne bi bilo, bi se rodil kot pes. """
5263,»Prepotoval bom cesarstvo!«,"""potoval bom po celem imperiju!""","""prepotoval bom cesarstvo!"""
5264,"»Nisem vedel, da si cesarski tolmač.","""nisem vedel, da si cesarski tolmač.","""Nisem vedel, da si cesarski tolmač."
5265,"Ko sva se srečala na lovu, tedaj, ko sem se seznanil z lamo P'ag-pajem, sem te imel za ptičarja.«","Ko sva se srečala na lovu, sem na dan, ko sem spoznal lamo P 'ag-pa, mislil, da si človek-ptica. ""","Ko sva se srečala na lovu, takrat, ko sem se seznanil z lamo P'"
5266,"»Poveljnik mi je povedal, da govoriš več jezikov.","""Poveljnik mi je povedal, da govorite več jezikov.","""Poveljnik mi je povedal, da govoriš več jezikov."
5267,Gotovo si veliko potoval.,Verjetno ste veliko potovali.,Gotovo si veliko potoval.
5268,Katere dela cesarstva pa poznaš?« je zvedavo vprašal Benečan.,"Katere dele cesarstva poznaš? ""so se čudno spraševali Benečani.","Katere dele cesarstva poznaš?"" je zvedavo vprašal Benečan."
5269,»Jasno!« je odvrnil.,"""Jasno"" je rekel.","""Jasno!"" je odgovoril."
5270,Nenadoma je Marco opazil senco dvigajoče se roke.,"Marco je nenadoma opazil senco roke, ki se je dvigala.",Nenadoma je Marco opazil senco dvigajoče se roke.
5271,Nagonsko je polegel na konjev vrat.,Nagonsko je pristal na konjskem vratu.,Nagonsko je poletel na konjev vrat.
5272,Po temenu ga je oplazil kamen.,Kamen je oplazil njegovo krono.,Po temenu ga je oplazil kamen.
5273,"»Gospod Marco, poslal vas je Veliki kan.«","""G. Marco, poslali so vas od Velikega Khana.""","""Gospod Marco, poslal vas je Veliki kan."""
5274,"Sanga je počakal, da se je četa nekoliko oddaljila.","Sanga je čakal, da se podjetje premakne malo naprej.","Sanga je počakal, da se je četa nekoliko oddaljila."
5275,"Bil je tako nevajen ubogati ukaze tujca, da so bili njegovi predlogi vedno slišati kot ukazi.","Bil je tako neveden, da je ubogal ukaze tujca, da so njegovi predlogi vedno zveneli kot ukazi.","Bil je tako nevajen ubogati ukaze tujca, da so bili njegovi predlogi vedno slišati"
5276,"Mongolski poveljnik je bil sodeloval v več vojaških pohodih zoper Songe,** Song [ali Sung]: zadnja kitajska dinastija pred mongolskim zavzetjem. a se je moral zaradi hude vojne rane umakniti z bojišč in iz vojske generala Bajana.","Mongolski poveljnik je sodeloval v več vojaških pohodih proti Song * Song [ali Sung], zadnji kitajski dinastiji pred mongolskim osvajanjem, vendar se je moral zaradi hude vojne rane umakniti z bojišča in iz vojske generala Bajana.","Mongolski poveljnik je sodeloval v več vojaških pohodih zoper Songe, * Song"
5277,"Bil je prepričan, da je Veliki kan dobro vedel, kaj počne, ko je za spremstvo tujcu izbral prav njega, zato je zdaj kar nekoliko nestrpno peljal četo k človeku, v čigar službi bi moral biti.","Prepričan je bil, da Veliki kan točno ve, kaj dela, ker ga je izbral za spremljevalca tujca, zato je bil sedaj nekoliko nestrpen, da bi družbo prevzel človeku, kateremu naj služi.","Bil je prepričan, da je Veliki kan dobro vedel, kaj počne, ko je za spremstvo"
5278,"»Kovina je tako čista, da se zdi, kakor da je nobena kri ne bi mogla umazati,« se je čudil Sanga.","""Kovina je tako čista, da se zdi, kot da je ne bi mogla umazati nobena kri,"" se je čudil Sangi.","""Kovina je tako čista, da se zdi, kot da je nobena kri ne bi mogl"
5279,Marco se ni zmenil za njegove besede.,Marco ni poslušal njegovih besed.,Marco se ni zmenil za njegove besede.
5280,"Opazoval je služabnico, ki jima je pridno stregla.","Pogledal je služabnika, ki jim je dobro služil.","Opazoval je služabnico, ki jima je pridno stregla."
5281,Gotovo je veliko prispevala k obiskanosti gostišča.,"Gotovo je veliko prispevala k temu, da je gostišče lahko bilo prisotno.",Gotovo je veliko prispevala k obisku gostišča.
5282,"Lastnik, ki ji je ves čas budno sledil z očmi mogoče je bil njen oče je z uslužnim nasmehom prišel k njima.","Lastnik, ki jo je pozorno spremljal s svojimi očmi, je bil morda njen oče, ki je prišel k njim s koristnim nasmehom.","Lastnik, ki ji je ves čas pozorno sledil z očmi, je bil njegov oče z uslužnim"
